i=84 i=85 {}
i=85 ns=3;i=1001 {}
i=85 ns=3;i=1009 {}
i=85 ns=3;i=1010 {}
i=85 ns=3;i=1011 {}
i=85 ns=3;s=85/0:Simulation {}
i=85 ns=6;s=MyObjectsFolder {}
ns=6;s=MyLevel.Alarm/0:AckedState ns=6;s=MyLevel.Alarm/0:AckedState/0:Id {}
ns=6;s=MyLevel.Alarm/0:ActiveState ns=6;s=MyLevel.Alarm/0:ActiveState/0:FalseState {}
ns=6;s=MyLevel.Alarm/0:ActiveState ns=6;s=MyLevel.Alarm/0:ActiveState/0:TrueState {}
ns=6;s=MyLevel.Alarm/0:ActiveState ns=6;s=MyLevel.Alarm/0:ActiveState/0:Id {}
ns=6;s=MyLevel.Alarm/0:Comment ns=6;s=MyLevel.Alarm/0:Comment/0:SourceTimestamp {}
ns=6;s=MyLevel.Alarm/0:EnabledState ns=6;s=MyLevel.Alarm/0:EnabledState/0:FalseState {}
ns=6;s=MyLevel.Alarm/0:EnabledState ns=6;s=MyLevel.Alarm/0:EnabledState/0:TrueState {}
ns=6;s=MyLevel.Alarm/0:EnabledState ns=6;s=MyLevel.Alarm/0:EnabledState/0:Id {}
ns=6;s=MyLevel.Alarm/0:LastSeverity ns=6;s=MyLevel.Alarm/0:LastSeverity/0:SourceTimestamp {}
ns=6;s=MyLevel.Alarm/0:LimitState ns=6;s=MyLevel.Alarm/0:LimitState/0:CurrentState {}
ns=6;s=MyLevel.Alarm/0:LimitState/0:CurrentState ns=6;s=MyLevel.Alarm/0:LimitState/0:CurrentState/0:Id {}
ns=6;s=MyLevel.Alarm/0:Quality ns=6;s=MyLevel.Alarm/0:Quality/0:SourceTimestamp {}
ns=6;s=MyMethod ns=6;s=MyMethod/0:InputArguments {}
ns=6;s=MyMethod ns=6;s=MyMethod/0:OutputArguments {}
